Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Recurring Nightmare",3,"Enchantment",B,"exo","72",rare,b,Owned,Non-foil,false,,,"","",10583
"Basking Rootwalla",1,"Creature - Lizard",G,"tor","121",common,g,Owned,Non-foil,false,,,"","",17293
"Birds of Paradise",1,"Creature - Bird",G,"lea","186",rare,g,Owned,Non-foil,false,,,"","",
"Nimble Mongoose",1,"Creature - Mongoose",G,"ody","258",uncommon,g,Owned,Non-foil,false,,,"","",16621
"Wall of Blossoms",2,"Creature - Plant Wall",G,"sth","125",uncommon,g,Owned,Non-foil,false,,,"","",10433
"Werebear",2,"Creature - Human Bear Druid",G,"ema","191",common,g,Owned,Non-foil,false,,,"","",60955
"Wild Mongrel",2,"Creature - Dog",G,"ody","283",common,g,Owned,Non-foil,false,,,"","",16619
"Anurid Barkripper",3,"Creature - Frog Beast",G,"jud","104",common,g,Owned,Non-foil,false,,,"","",17560
"Spike Feeder",3,"Creature - Spike",G,"cmd","172",uncommon,g,Owned,Non-foil,false,,,"","",40485
"Uktabi Orangutan",3,"Creature - Ape",G,"vis","123",uncommon,g,Owned,Non-foil,false,,,"","",7769
"Yavimaya Elder",3,"Creature - Human Druid",G,"mic","147",common,g,Owned,Non-foil,false,,,"","",93710
"Blastoderm",4,"Creature - Beast",G,"ddd","7",common,g,Owned,Non-foil,false,,,"","",34950
"Arrogant Wurm",5,"Creature - Wurm",G,"tor","120",uncommon,g,Owned,Non-foil,false,,,"","",17343
"Deranged Hermit",5,"Creature - Elf",G,"ulg","101",rare,g,Owned,Non-foil,false,,,"","",12473
"Genesis",5,"Creature - Incarnation",G,"jud","117",rare,g,Owned,Non-foil,false,,,"","",17606
"Krosan Tusker",7,"Creature - Boar Beast",G,"c13","154",common,g,Owned,Non-foil,false,,,"","",51238
"Crop Rotation",1,"Instant",G,"ddr","7",common,g,Owned,Non-foil,false,,,"","",
"Moment's Peace",2,"Instant",G,"ody","251",common,g,Owned,Non-foil,false,,,"","",16967
"Naturalize",2,"Instant",G,"ons","275",common,g,Owned,Non-foil,false,,,"","",18143
"Call of the Herd",3,"Sorcery",G,"ody","231",rare,g,Owned,Non-foil,false,,,"","",16605
"Roar of the Wurm",7,"Sorcery",G,"dds","49",uncommon,g,Owned,Non-foil,false,,,"","",
"Rancor",1,"Enchantment - Aura",G,"ulg","110",common,g,Owned,Non-foil,false,,,"","",12677
"Survival of the Fittest",2,"Enchantment",G,"exo","129",rare,g,Owned,Non-foil,false,,,"","",10709
"Psychatog",3,"Creature - Atog",BU,"ody","292",uncommon,m,Owned,Non-foil,false,,,"","",16523
"Recoil",3,"Instant",UB,"inv","264",common,m,Owned,Non-foil,false,,,"","",14547
"Shadowmage Infiltrator",3,"Creature - Human Wizard",BU,"tsb","99",special,m,Owned,Non-foil,false,,,"","",26173
"Life // Death",3,"Sorcery",BG,"ddj","77",uncommon,m,Owned,Non-foil,false,,,"","",46099
"Pernicious Deed",3,"Enchantment",BG,"cns","191",mythic,m,Owned,Non-foil,false,,,"","",
"Spiritmonger",5,"Creature - Beast",BG,"ima","209",rare,m,Owned,Non-foil,false,,,"","",66297
"Gaea's Skyfolk",2,"Creature - Elf Merfolk",GU,"apc","101",common,m,Owned,Non-foil,false,,,"","",16118
"Temporal Spring",3,"Sorcery",GU,"apc","125",common,m,Owned,Non-foil,false,,,"","",16308
"Mystic Snake",4,"Creature - Snake",UG,"apc","112",rare,m,Owned,Non-foil,false,,,"","",16216
"Lotus Petal",0,"Artifact",,"tmp","294",common,c,Owned,Non-foil,false,,,"","",9475
"Powder Keg",2,"Artifact",,"uds","136",rare,c,Owned,Non-foil,false,,,"","",12939
"Scroll Rack",2,"Artifact",,"cm1","16",rare,c,Owned,Non-foil,false,,,"","",
"Winter Orb",2,"Artifact",,"5ed","408",rare,c,Owned,Non-foil,false,,,"","",
"Underground River",0,"Land",UB,"ice","362",rare,l,Owned,Non-foil,false,,,"","",
"Llanowar Wastes",0,"Land",BG,"apc","141",rare,l,Owned,Non-foil,false,,,"","",16196
"Yavimaya Coast",0,"Land",UG,"apc","143",rare,l,Owned,Non-foil,false,,,"","",16322
"Gaea's Cradle",0,"Legendary Land",G,"usg","321",rare,l,Owned,Non-foil,false,,,"","",11867
"Mishra's Factory",0,"Land",,"atq","80c",rare,l,Owned,Non-foil,false,,,"","",
"Misty Rainforest",0,"Land",,"mh2","438",rare,l,Owned,Non-foil,false,,,"","",91149
"Polluted Delta",0,"Land",,"ons","321",rare,l,Owned,Non-foil,false,,,"","",18247
"Rishadan Port",0,"Land",,"mmq","324",rare,l,Owned,Non-foil,false,,,"","",13359
"Verdant Catacombs",0,"Land",,"mh2","440",rare,l,Owned,Non-foil,false,,,"","",91153
"Volrath's Stronghold",0,"Legendary Land",B,"sth","143",rare,l,Owned,Non-foil,false,,,"","",10429
"Wasteland",0,"Land",,"tmp","330",uncommon,l,Owned,Non-foil,false,,,"","",10035
